City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Ketchikan,US,2022-06-02 17:48:30,55.3422,-131.6461,63.07,63,0,5.75
178,Prince Rupert,CA,2022-06-02 17:48:30,54.3161,-130.3201,59.09,82,0,4.61
179,Bethel,US,2022-06-02 17:48:31,41.3712,-73.414,77.41,80,75,1.01
180,Trois-Rivieres,CA,2022-06-02 17:43:50,46.3501,-72.5491,68.49,52,0,9.22
181,Codrington,AU,2022-06-02 17:48:31,-38.2667,141.9667,46.65,70,100,13.91
182,Ambovombe,MG,2022-06-02 17:48:32,-25.1667,46.0833,65.26,69,10,9.04
183,Flinders,AU,2022-06-02 17:48:32,-34.5833,150.8552,45.18,84,98,3.0
184,Ako,JP,2022-06-02 17:48:33,34.75,134.4,64.36,90,29,3.4
185,Avarua,CK,2022-06-02 17:49:33,-21.2078,-159.775,75.25,64,20,10.36
186,Qaanaaq,GL,2022-06-02 17:49:34,77.484,-69.3632,30.13,82,99,10.76
187,Ribeira Grande,PT,2022-06-02 17:49:34,38.5167,-28.7,70.2,78,20,16.11
188,West Bend,US,2022-06-02 17:47:01,43.4253,-88.1834,72.79,37,0,10.36
189,Mananara,MG,2022-06-02 17:49:35,-16.1667,49.7667,72.03,81,24,9.8
190,Iskateley,RU,2022-06-02 17:49:36,67.6803,53.1512,43.05,36,5,14.99
191,La Baule-Escoublac,FR,2022-06-02 17:49:36,47.2922,-2.364,78.46,61,0,4.61
192,Victoria,HK,2022-06-02 17:47:25,22.2855,114.1577,84.38,85,92,10.0
193,Grand Gaube,MU,2022-06-02 17:40:52,-20.0064,57.6608,73.8,80,8,15.3
194,Dubai,AE,2022-06-02 17:46:05,25.2582,55.3047,91.69,55,0,8.05
195,Tiksi,RU,2022-06-02 17:49:38,71.6872,128.8694,31.75,97,98,6.38
196,Guhagar,IN,2022-06-02 17:49:38,17.4842,73.1929,81.93,79,100,3.36
197,Kiruna,SE,2022-06-02 17:49:39,67.8557,20.2251,59.92,51,0,10.36
198,Beringovskiy,RU,2022-06-02 17:49:39,63.05,179.3167,38.05,88,47,6.08
199,Muros,ES,2022-06-02 17:49:40,42.7762,-9.0603,70.09,63,6,2.21
200,Nouadhibou,MR,2022-06-02 17:49:41,20.931,-17.0347,76.98,69,95,19.57
201,Mitu,CO,2022-06-02 17:49:41,1.1983,-70.1733,86.09,57,93,2.15
202,Ryotsu,JP,2022-06-02 17:49:41,38.0833,138.4333,61.45,90,23,3.31
203,Wuhan,CN,2022-06-02 17:48:51,30.5833,114.2667,78.89,90,54,4.56
204,Kavieng,PG,2022-06-02 17:49:42,-2.5744,150.7967,80.65,70,81,8.28
205,Biak,ID,2022-06-02 17:49:43,-0.9131,122.8766,76.8,82,69,3.62
206,Broken Hill,AU,2022-06-02 17:49:43,-31.95,141.4333,48.78,69,100,6.85
207,Tazovskiy,RU,2022-06-02 17:49:44,67.4667,78.7,31.12,94,100,18.43
208,Yar-Sale,RU,2022-06-02 17:49:44,66.8333,70.8333,31.77,69,100,24.0
209,Korla,CN,2022-06-02 17:49:45,41.7597,86.1469,73.96,20,32,11.21
210,Yumen,CN,2022-06-02 17:49:45,40.2833,97.2,67.62,35,100,8.88
211,Zaysan,KZ,2022-06-02 17:49:46,47.4667,84.8667,48.83,48,4,8.16
212,Fare,PF,2022-06-02 17:42:07,-16.7,-151.0167,78.67,79,99,15.88
213,Coihaique,CL,2022-06-02 17:49:47,-45.5752,-72.0662,27.21,93,100,3.44
214,Bonthe,SL,2022-06-02 17:49:47,7.5264,-12.505,83.41,75,90,8.93
215,Arrifes,PT,2022-06-02 17:49:48,37.7667,-25.7,62.85,88,75,11.5
216,Harper,LR,2022-06-02 17:49:48,4.375,-7.7169,80.73,78,41,7.7
217,Inzhavino,RU,2022-06-02 17:49:49,52.3185,42.4937,64.72,81,22,8.61
218,Torbay,CA,2022-06-02 17:49:50,47.6666,-52.7314,43.75,95,100,18.01
219,Karaton,ID,2022-06-02 17:49:50,-6.3424,106.1045,74.17,91,99,4.23
220,Bathsheba,BB,2022-06-02 17:49:51,13.2167,-59.5167,84.81,79,40,11.5
221,Pekalongan,ID,2022-06-02 17:49:52,-6.8886,109.6753,78.22,83,55,5.1
222,Margate,GB,2022-06-02 17:49:52,51.3813,1.3862,63.1,72,69,5.01
223,Ipixuna,BR,2022-06-02 17:49:52,-1.7625,-48.8043,89.26,49,99,3.13
224,Berlevag,NO,2022-06-02 17:49:53,70.8578,29.0864,58.8,81,0,18.41
225,Khorostkiv,UA,2022-06-02 17:49:54,49.2111,25.9217,61.7,92,85,10.04
226,San Rafael Del Sur,NI,2022-06-02 17:49:54,11.8485,-86.4384,85.17,79,97,10.47
227,Nabire,ID,2022-06-02 17:49:55,-3.3667,135.4833,75.96,89,7,3.33
228,Narsaq,GL,2022-06-02 17:43:25,60.9167,-46.05,59.22,48,15,5.37
229,Ostrovnoy,RU,2022-06-02 17:49:56,68.0531,39.5131,47.82,68,90,14.83
230,Port Hardy,CA,2022-06-02 17:49:56,50.6996,-127.4199,53.78,100,100,0.0
231,Anqiu,CN,2022-06-02 17:50:57,36.4342,119.1925,70.66,75,57,9.37
232,Kristiansund,NO,2022-06-02 17:50:57,63.1115,7.732,53.65,93,75,6.91
233,Batemans Bay,AU,2022-06-02 17:50:58,-35.7167,150.1833,45.1,81,99,5.64
234,Yanam,IN,2022-06-02 17:50:59,16.7333,82.2167,85.15,74,99,6.76
235,La Ronge,CA,2022-06-02 17:50:59,55.1001,-105.2842,57.42,18,20,17.27
236,Inhambane,MZ,2022-06-02 17:51:00,-23.865,35.3833,68.0,93,40,9.22
237,San Patricio,US,2022-06-02 17:51:00,28.017,-97.5169,93.07,38,18,7.65
238,Verkhnevilyuysk,RU,2022-06-02 17:51:01,63.4453,120.3167,47.89,89,7,2.86
239,Rocha,UY,2022-06-02 17:48:26,-34.4833,-54.3333,50.02,65,73,9.51
240,Falakata,IN,2022-06-02 17:51:02,26.5208,89.2055,77.29,93,45,3.94
241,Bosaso,SO,2022-06-02 17:51:02,11.2842,49.1816,86.61,65,39,4.94
242,Tiarei,PF,2022-06-02 17:43:36,-17.5333,-149.3333,75.22,82,100,16.58
243,Yenagoa,NG,2022-06-02 17:51:03,4.9247,6.2642,78.51,88,98,5.32
244,Marienburg,PL,2022-06-02 17:51:03,54.0359,19.0266,60.89,73,53,2.51
245,Tuktoyaktuk,CA,2022-06-02 17:51:04,69.4541,-133.0374,33.8,86,100,12.66
246,Airai,TL,2022-06-02 17:51:04,-8.9266,125.4092,60.35,95,93,1.14
247,Leningradskiy,RU,2022-06-02 17:51:05,69.3833,178.4167,53.65,40,100,13.33
248,Nurota,UZ,2022-06-02 17:51:06,40.5614,65.6886,79.0,21,74,1.05
249,Pacific Grove,US,2022-06-02 17:51:06,36.6177,-121.9166,73.81,85,20,8.99
250,Nhulunbuy,AU,2022-06-02 17:51:07,-12.2333,136.7667,74.01,88,6,0.0
251,Karratha,AU,2022-06-02 17:51:07,-20.7377,116.8463,64.53,65,1,12.35
252,Viet Tri,VN,2022-06-02 17:51:08,21.3019,105.4308,80.55,77,100,2.17
253,Mwinilunga,ZM,2022-06-02 17:51:08,-11.7358,24.4293,61.39,56,48,7.43
254,Asfi,MA,2022-06-02 17:51:09,32.2994,-9.2372,68.94,74,2,9.73
255,Gat,IL,2022-06-02 17:50:04,31.61,34.7642,76.41,100,0,5.57
256,Lata,PT,2022-06-02 17:51:09,40.1629,-8.3327,69.1,58,92,9.57
257,Ocos,GT,2022-06-02 17:51:10,14.5094,-92.1933,75.38,80,100,6.67
258,Bontang,ID,2022-06-02 17:51:10,0.1333,117.5,79.86,83,94,1.97
259,Erzin,TR,2022-06-02 17:51:11,36.9559,36.2,70.97,91,97,5.57
260,Aksu,CN,2022-06-02 17:51:11,41.1231,80.2644,74.25,17,0,2.66
261,Channel-Port Aux Basques,CA,2022-06-02 17:51:12,47.5702,-59.1367,45.72,89,100,25.66
262,Alta Floresta,BR,2022-06-02 17:51:12,-9.8756,-56.0861,96.62,44,40,4.61
263,Kaitangata,NZ,2022-06-02 17:51:13,-46.2817,169.8464,46.53,86,100,14.45
264,Kharitonovo,RU,2022-06-02 17:51:13,61.4009,47.4978,65.19,71,95,0.98
265,Turukhansk,RU,2022-06-02 17:51:14,65.8167,87.9833,38.97,71,100,14.54
266,Vila Franca Do Campo,PT,2022-06-02 17:51:15,37.7167,-25.4333,64.81,73,82,5.77
267,Sept-Iles,CA,2022-06-02 17:50:42,50.2001,-66.3821,68.43,62,20,10.36
268,Letterkenny,IE,2022-06-02 17:50:03,54.95,-7.7333,55.33,96,100,5.03
269,Yinchuan,CN,2022-06-02 17:46:25,38.4681,106.2731,78.6,23,69,3.78
270,Zheleznodorozhnyy,RU,2022-06-02 17:51:16,55.7503,38.0042,72.01,88,98,5.79
271,Bangassou,CF,2022-06-02 17:51:17,4.7413,22.8184,71.17,88,95,2.3
272,San Ramon,US,2022-06-02 17:51:17,37.7799,-121.978,83.8,48,0,8.01
273,Majenang,ID,2022-06-02 17:51:18,-7.2975,108.7642,74.05,99,53,2.66
274,Beloha,MG,2022-06-02 17:51:18,-25.1667,45.05,61.93,73,1,6.02
275,Omsukchan,RU,2022-06-02 17:43:31,62.5333,155.8,42.51,79,73,0.47
276,Charters Towers,AU,2022-06-02 17:51:19,-20.1,146.2667,60.64,92,75,6.06
277,Oranjestad,AW,2022-06-02 17:59:51,12.524,-70.027,89.55,55,40,21.85
278,Fuyang,CN,2022-06-02 18:00:26,32.9,115.8167,77.65,66,79,6.35
279,Georgetown,MY,2022-06-02 18:00:45,5.4112,100.3354,82.33,83,20,0.0
280,Kruisfontein,ZA,2022-06-02 18:00:45,-34.0033,24.7314,52.88,87,14,4.03
281,Sao Joao Da Barra,BR,2022-06-02 18:00:46,-21.6403,-41.0511,80.44,60,36,6.29
282,Lavrentiya,RU,2022-06-02 18:00:46,65.5833,-171.0,39.96,83,68,5.95
283,Cidreira,BR,2022-06-02 17:56:34,-30.1811,-50.2056,56.86,69,100,9.69
284,Rize,TR,2022-06-02 18:00:47,40.9044,40.8949,53.83,84,98,11.92
285,Horta,PT,2022-06-02 18:00:48,38.5333,-28.6333,69.44,78,20,16.11
286,Sur,OM,2022-06-02 18:00:49,22.5667,59.5289,85.51,60,27,13.29
287,Parrita,CR,2022-06-02 18:00:49,9.5201,-84.3225,79.54,80,100,4.94
288,Rosamorada,MX,2022-06-02 18:00:50,22.1222,-105.2058,90.95,37,27,7.23
289,Rantepao,ID,2022-06-02 18:00:50,-2.9701,119.8978,64.04,94,25,2.84
290,Cam Ranh,VN,2022-06-02 18:00:51,11.9214,109.1591,78.76,83,20,1.14
291,Klaksvik,FO,2022-06-02 18:00:51,62.2266,-6.589,49.12,84,18,8.21
292,Ekhabi,RU,2022-06-02 18:00:52,53.5102,142.9671,34.74,88,94,5.44
