City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Geraldton,AU,-28.7667,114.6,64.81,94,75,10.36,broken clouds
153,Reo,BF,12.3167,-2.4667,89.06,43,79,7.9,broken clouds
154,Port Elizabeth,ZA,-33.918,25.5701,70.32,48,0,4.61,clear sky
155,Avarua,CK,-21.2078,-159.775,75.25,78,100,3.44,overcast clouds
156,Taltal,CL,-25.4,-70.4833,61.7,58,0,3.58,clear sky
157,Chuy,UY,-33.6971,-53.4616,59.0,76,99,7.58,overcast clouds
158,Ucluelet,CA,48.9329,-125.5528,50.31,93,17,4.16,few clouds
159,Karatuzskoye,RU,53.6072,92.8667,58.48,72,99,4.34,overcast clouds
160,San Quintin,MX,30.4833,-115.95,65.12,76,2,9.24,clear sky
161,Havoysund,NO,70.9963,24.6622,43.03,72,97,12.68,overcast clouds
162,Tiksi,RU,71.6872,128.8694,32.27,89,98,5.88,overcast clouds
163,Avila,ES,40.5833,-5.0,92.64,18,100,14.0,overcast clouds
164,Kaitangata,NZ,-46.2817,169.8464,36.45,94,12,5.93,few clouds
165,Mwinilunga,ZM,-11.7358,24.4293,77.94,23,30,5.21,scattered clouds
166,Galle,LK,6.0367,80.217,79.39,84,100,8.32,overcast clouds
167,Yellowknife,CA,62.456,-114.3525,57.72,51,20,4.61,few clouds
168,Ahipara,NZ,-35.1667,173.1667,56.14,92,90,7.92,overcast clouds
169,Puerto Escondido,MX,15.85,-97.0667,81.41,69,100,7.49,overcast clouds
170,Pacific Grove,US,36.6177,-121.9166,56.88,87,94,1.01,overcast clouds
171,Port Lincoln,AU,-34.7333,135.8667,55.08,72,0,13.31,clear sky
172,Itarema,BR,-2.9248,-39.9167,83.66,62,81,10.36,broken clouds
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.21,79,84,3.36,broken clouds
174,Zhigansk,RU,66.7697,123.3711,51.78,45,10,10.0,clear sky
175,Domoni,KM,-12.2569,44.5319,76.62,75,15,9.86,few clouds
176,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,53,0,9.22,clear sky
177,Hamilton,US,39.1834,-84.5333,87.26,73,0,10.36,clear sky
178,Waddan,LY,29.1614,16.139,92.19,16,0,10.47,clear sky
179,Goderich,CA,43.7501,-81.7165,64.9,79,0,14.27,clear sky
180,Kibre Mengist,ET,5.8833,38.9833,62.69,86,99,1.52,light rain
181,Porbandar,IN,21.6422,69.6093,85.71,77,100,13.85,overcast clouds
182,Hambantota,LK,6.1241,81.1185,80.94,94,40,11.5,scattered clouds
183,Bijie,CN,27.3125,105.2942,60.82,93,96,1.3,overcast clouds
184,Tyrma,RU,50.0833,132.1667,56.59,98,100,2.93,overcast clouds
185,Carnarvon,AU,-24.8667,113.6333,64.47,94,100,8.05,overcast clouds
186,Kinel-Cherkassy,RU,53.4706,51.4743,68.81,78,51,11.25,broken clouds
187,Provideniya,RU,64.3833,-173.3,46.47,59,14,3.0,few clouds
188,Coahuayana,MX,18.7333,-103.6833,82.27,67,100,4.03,overcast clouds
189,Altay,CN,47.8667,88.1167,57.83,54,4,4.81,clear sky
190,Fort Frances,CA,48.5999,-93.4003,66.16,66,0,9.22,clear sky
191,Mezen,RU,65.8522,44.24,60.35,67,92,6.38,overcast clouds
192,Linxia,CN,35.6003,103.2064,65.75,50,100,3.09,overcast clouds
193,Kenai,US,60.5544,-151.2583,49.08,92,20,4.61,few clouds
194,Ancud,CL,-41.8697,-73.8203,43.23,74,97,1.36,overcast clouds
195,Kosa,RU,59.9445,54.9977,62.64,92,97,3.65,light rain
196,Arrifes,PT,37.7667,-25.7,71.85,60,20,12.66,few clouds
197,Tinskoy,RU,56.1525,96.9161,59.41,83,100,3.13,overcast clouds
198,Hopelchen,MX,19.7667,-89.85,86.2,57,81,4.79,broken clouds
199,Bilibino,RU,68.0546,166.4372,47.86,54,58,5.86,broken clouds
200,Lebu,CL,-37.6167,-73.65,51.24,82,77,5.55,broken clouds
201,Cherskiy,RU,68.75,161.3,38.84,69,91,8.39,overcast clouds
202,Meiganga,CM,6.5167,14.3,76.98,72,100,1.77,light rain
203,Berezovyy,RU,51.6667,135.7,56.57,97,100,3.8,overcast clouds
204,Half Moon Bay,US,37.4636,-122.4286,59.61,80,100,14.97,mist
205,Luderitz,NA,-26.6481,15.1594,61.16,68,0,10.2,clear sky
206,Mandurah,AU,-32.55,115.7,60.91,59,100,28.14,overcast clouds
207,Macomer,IT,40.262,8.7699,84.34,26,38,12.03,scattered clouds
208,Moratuwa,LK,6.773,79.8816,79.18,84,100,6.96,light rain
209,Kodiak,US,57.79,-152.4072,47.71,87,100,4.61,mist
210,Oistins,BB,13.0667,-59.5333,86.09,66,75,24.16,broken clouds
211,Jalu,LY,29.0331,21.5482,94.91,19,0,13.18,clear sky
212,Samarai,PG,-10.6167,150.6667,80.08,82,17,8.55,few clouds
213,Haines Junction,CA,60.7522,-137.5108,58.96,53,100,1.36,overcast clouds
214,Strezhevoy,RU,60.7333,77.5889,62.87,83,51,8.86,light rain
215,Chokurdakh,RU,70.6333,147.9167,37.4,73,99,11.3,overcast clouds
216,Haifa,IL,32.8156,34.9892,81.54,74,0,13.8,clear sky
217,Hobyo,SO,5.3505,48.5268,79.14,81,69,25.55,broken clouds
218,Kalianget,ID,-7.05,113.9333,81.55,77,100,7.2,overcast clouds
219,Takoradi,GH,4.8845,-1.7554,76.46,87,100,6.91,light rain
220,Lamar,US,33.6668,-95.5836,88.65,66,0,0.0,clear sky
221,Auki,SB,-8.7676,160.7034,76.98,88,89,4.59,overcast clouds
222,Hithadhoo,MV,-0.6,73.0833,82.62,73,100,7.7,overcast clouds
223,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.22,45,4,12.66,clear sky
224,Galesong,ID,-5.3166,119.3661,78.82,81,100,7.05,overcast clouds
225,Puerto Leguizamo,CO,-0.1934,-74.7819,83.97,63,29,1.14,scattered clouds
226,Tashla,RU,51.7716,52.7427,75.4,66,67,13.71,broken clouds
227,Nome,US,64.5011,-165.4064,53.11,77,100,5.48,overcast clouds
228,Namibe,AO,-15.1961,12.1522,70.45,66,8,10.4,clear sky
229,Pevek,RU,69.7008,170.3133,30.43,81,80,2.93,broken clouds
230,Karratha,AU,-20.7377,116.8463,77.0,71,98,8.7,overcast clouds
231,Remedios,CU,22.4947,-79.5458,83.32,76,100,10.27,overcast clouds
232,Mulege,MX,26.8833,-111.9833,87.17,46,10,3.38,clear sky
233,Torbay,CA,47.6666,-52.7314,68.29,76,3,13.82,clear sky
234,Ilulissat,GL,69.2167,-51.1,35.62,93,75,5.75,broken clouds
235,Saint-Joseph,RE,-21.3667,55.6167,71.98,80,38,2.57,scattered clouds
236,Upernavik,GL,72.7868,-56.1549,35.51,85,51,11.68,broken clouds
237,Marawi,PH,7.9986,124.2928,69.21,94,30,2.13,scattered clouds
238,Magomeni,TZ,-6.8,39.25,79.88,64,55,11.83,broken clouds
239,Oranjemund,NA,-28.55,16.4333,60.08,72,0,16.6,clear sky
240,Ixtapa,MX,20.7,-105.2,82.22,89,75,0.0,broken clouds
241,Burlington,US,39.8835,-74.6413,90.73,62,0,11.5,clear sky
242,Yar-Sale,RU,66.8333,70.8333,61.52,44,73,9.48,broken clouds
243,Lander,US,42.833,-108.7307,72.99,30,0,3.44,clear sky
244,Bengkulu,ID,-3.8004,102.2655,76.68,91,100,5.23,overcast clouds
245,Saskylakh,RU,71.9167,114.0833,62.49,35,100,21.99,overcast clouds
246,Portland,US,45.5234,-122.6762,55.83,82,100,3.44,overcast clouds
247,Timiryazevskiy,RU,56.49,84.8769,61.75,84,99,5.08,light rain
248,Kanakeravan,AM,40.2467,44.5345,86.81,16,20,4.61,few clouds
249,Corowa,AU,-36.0333,146.3833,42.58,95,5,2.93,clear sky
250,Port Hardy,CA,50.6996,-127.4199,53.78,87,75,5.75,broken clouds
251,Sinnamary,GF,5.3833,-52.95,83.91,64,32,3.02,scattered clouds
252,Jacareacanga,BR,-6.2222,-57.7528,88.43,41,5,3.51,clear sky
253,Vestmannaeyjar,IS,63.4427,-20.2734,50.31,82,97,19.48,overcast clouds
254,Kununurra,AU,-15.7667,128.7333,57.18,77,40,3.44,scattered clouds
255,Milton,US,34.1322,-84.3007,89.89,69,49,1.99,scattered clouds
256,Hengshui,CN,37.7322,115.7011,91.96,32,46,3.91,scattered clouds
257,Laguna,US,38.421,-121.4238,60.06,65,0,12.66,clear sky
258,Srednekolymsk,RU,67.45,153.6833,53.01,36,39,3.85,scattered clouds
259,Belaya Gora,RU,68.5333,146.4167,43.41,70,100,11.5,light rain
260,Maniitsoq,GL,65.4167,-52.9,35.31,99,100,20.92,snow
261,Mafinga,TZ,-7.25,35.0667,83.08,29,85,5.95,overcast clouds
262,Vao,NC,-22.6667,167.4833,75.83,82,100,14.7,light rain
263,Lodja,CD,-3.4833,23.4333,87.24,36,100,1.12,overcast clouds
264,Victoria,HK,22.2855,114.1577,85.17,84,97,11.01,overcast clouds
265,Nanortalik,GL,60.1432,-45.2371,45.81,65,99,21.32,overcast clouds
266,Tynda,RU,55.1667,124.7167,51.37,93,99,2.33,overcast clouds
267,Mahon,ES,39.8885,4.2658,88.36,55,0,10.36,clear sky
268,Marzuq,YE,14.4,46.4667,88.93,27,92,5.55,overcast clouds
269,Bani Walid,LY,31.7566,13.9942,92.44,18,0,10.27,clear sky
270,Taoudenni,ML,22.6783,-3.9836,108.88,14,73,9.35,broken clouds
271,Dolores,AR,-36.3132,-57.6792,53.06,43,21,22.37,few clouds
272,Erenhot,CN,43.6475,111.9767,80.4,31,2,13.82,clear sky
273,Vostok,RU,46.4856,135.8833,56.62,98,100,3.47,overcast clouds
274,Kruisfontein,ZA,-34.0033,24.7314,64.45,29,68,7.11,broken clouds
275,Susanville,US,40.4163,-120.653,55.24,15,0,10.36,clear sky
276,Richards Bay,ZA,-28.783,32.0377,63.59,44,0,6.24,clear sky
277,College,US,64.8569,-147.8028,58.8,77,20,3.44,few clouds
278,Jiuquan,CN,39.7432,98.5174,82.18,13,100,5.5,overcast clouds
279,Vila Velha,BR,-20.3297,-40.2925,80.55,57,0,9.22,clear sky
280,Road Town,VG,18.4167,-64.6167,86.04,79,40,8.05,scattered clouds
281,Vanimo,PG,-2.6741,141.3028,77.23,89,30,5.7,scattered clouds
282,Lashio,MM,22.9333,97.75,67.82,98,100,2.33,overcast clouds
283,Kloulklubed,PW,7.0419,134.2556,75.7,73,75,4.92,broken clouds
284,Semporna,MY,4.4818,118.6112,79.74,80,70,2.46,broken clouds
285,Kalevala,RU,65.2,31.1667,44.89,90,100,9.13,overcast clouds
286,Bethanien,NA,-26.502,17.1583,72.75,18,0,19.51,clear sky
287,Sobolevo,RU,54.4299,31.8996,62.19,80,94,7.25,overcast clouds
288,Port Pirie,AU,-33.1833,138.0167,51.93,67,0,6.91,clear sky
289,Alofi,NU,-19.0595,-169.9187,78.15,77,54,23.71,broken clouds
290,Kahului,US,20.8947,-156.47,75.85,79,0,6.91,clear sky
291,Puksoozero,RU,62.5903,40.6066,49.01,95,100,5.84,overcast clouds
292,Fruitvale,US,39.0817,-108.4968,87.93,21,0,18.41,clear sky
293,Sorland,NO,67.667,12.6934,49.86,81,7,11.54,clear sky
294,Balkanabat,TM,39.5108,54.3671,89.24,30,0,12.62,clear sky
295,Malmyzh,RU,56.5205,50.6818,67.01,77,23,5.46,few clouds
296,Lasa,IT,46.6166,10.7002,85.69,34,95,7.25,overcast clouds
297,Fort Nelson,CA,58.8053,-122.7002,53.19,94,100,8.05,overcast clouds
298,Santa Maria,BR,-29.6842,-53.8069,60.6,97,100,9.13,overcast clouds
299,Inongo,CD,-1.95,18.2667,75.49,74,100,3.78,light rain
300,Terrace,CA,54.5163,-128.6035,55.44,87,95,0.58,overcast clouds
301,Muisne,EC,0.6,-80.0333,74.89,84,100,11.54,overcast clouds
302,Adrar,MR,20.5022,-10.0711,104.76,16,30,12.82,scattered clouds
303,Chajul,GT,15.4853,-91.0342,60.19,78,99,3.06,overcast clouds
304,Boden,SE,65.8252,21.6886,60.8,57,98,7.4,overcast clouds
305,Couvin,BE,50.0528,4.495,85.77,42,82,8.68,broken clouds
306,Camapua,BR,-19.5314,-54.0439,84.52,45,63,10.56,broken clouds
307,Nacozari,MX,25.3366,-108.2574,85.1,64,77,11.01,broken clouds
308,Hervey Bay,AU,-25.2986,152.8535,58.73,67,24,9.06,few clouds
309,Alice Springs,AU,-23.7,133.8833,44.15,81,21,0.0,few clouds
310,Necochea,AR,-38.5473,-58.7368,47.62,77,98,30.58,overcast clouds
311,Kieta,PG,-6.2167,155.6333,77.88,84,8,1.5,clear sky
312,Ca Mau,VN,9.1769,105.15,79.74,87,100,3.87,overcast clouds
313,San Jose De Guanipa,VE,8.8872,-64.1651,83.32,60,76,11.39,broken clouds
